
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
16/04/2020,Page 1
4:06:25 pm
Item No.,Item Name,On Hand,Committed,On Order,Available

1001-20A,Aspac Ideal Foam 20 Block Box,27,0,0,27
1002A,Aspac Ideal Foam Box 60,171,1,0,170
105M,Staples for HD10D 5mm 5000,2,0,0,2
11046CL,Pearl & Ribbon Clear,4,0,0,4
114000,18in Thinking Of You Sun Stars,10,0,0,10
114005,17in Balloon It's Your Day!,12,0,0,12
114009,18in Best Wishes Balloon,4,0,0,4
114027,17in Happy Retirement Balloons,27,0,0,27
114034,18in GWS Dot & Stripes Balloon,11,0,0,11
114054,18in SMILEY FACE Balloon,45,0,0,45
114063,18in Get Well Chrysanthemums,17,0,0,17
114073,18in Brewster Get Well Balloon,12,0,0,12
114074,17in It's A Boy Baby Icons,13,0,0,13
114082,17in It's A Girl Baby Icons,23,6,0,17
114092,17in Party Time Balloon,26,0,0,26
114100,17in Happy Birthday Rose Gold,33,0,0,33
114107,17in Little Birthday Monsters,7,0,0,7
114120,18in Welcome Repeat Balloon,21,0,0,21
114131,17in Birthday Animal Print,14,0,0,14
114134,17in Happy Birthday Dots,31,0,0,31
114136,17in Grad Rainbow Stripes,3,0,0,3
114157,17in Happy Birthday Cupcake,22,0,0,22
114162,17in Get Well Bandaids Balloon,7,0,0,7
114186,17in Festive Birthday Blue,31,0,0,31
114187,17in Festive Over the Hill,3,0,0,3
114211,18in BIG BIRTHDAY BALLOONS,30,0,0,30
114271,17in Thinking of You Bouquet,5,0,0,5
114275,17in Birthday Rainbow Balloon,5,0,0,5
114286,18in Welcome Home Balloon,15,0,0,15
114287,17in Baby Shower Moon & Stars,24,0,0,24
114327,17in Heart Eyes Balloon,55,0,0,55
114329,17in Best Mum Ever Party,50,0,0,50
114341,17in Happy Birthday Smiley,26,0,0,26
114361,17in Big Fish Birthday Balloon,5,0,0,5
114363,18in PASTEL 1ST BIRTHDAY,2,0,0,2
114378,17in HMD Fun Flowers Balloon,2,0,0,2
114491,17in Happy Birthday Star Burst,15,0,0,15
114497,17in Birthday Princess Pink,9,0,0,9
114499,17in Congratulations Star,12,0,0,12
114502,17in Baby Girl Bottles Balloon,18,0,0,18
114503,17in Baby Boy Bottles Balloon,17,0,0,17
114508,17in Bee Better Soon Balloon,19,0,0,19
114511,18in Get Well Butterfly & Bug,20,0,0,20
114542,18in HAPPY BIRTHDAY GLITTERS,1,0,0,1
114543,18in Congrats Stars Balloon,13,0,0,13
114544,18in GET WELL COLORFUL BURST,29,0,0,29
114545,18in HBD PRINCESS PINK PEARLS,4,0,0,4
114547,18in Get Well Dots & Swirl,13,0,0,13
114571,17in Baby Girl Narwhal Balloon,14,0,0,14
114572,17in Baby Boy Narwhal Balloon,16,0,0,16
114573,17in HBD Party Dinosuar,29,0,0,29
114591,18in HAPPY 18TH BDAY BURST,3,0,0,3
114594,18in HAPPY 40TH BDAY BURST,3,0,0,3
114596,18in HAPPY 60TH BDAY BURST,4,0,0,4
114601,17in HBD Stripes & Dots,0,1,0,-1
114604,18in Sports Balloon,17,0,0,17
114605,17in Happy Birthday Balloons,41,6,0,35
114606,17in Happy Birthday Gifts,12,0,0,12
114607,17in HBD Colourful Candles,11,1,0,10
114608,18in HBD PARTY HAT & HORN,12,0,0,12
114610,17in Get Well Colourful Type,20,0,0,20
114667,17in Thank You Burst Balloon,26,0,0,26
114835,18in It's A Girl Colorful Dots,8,0,0,8
114836,18in It's A Boy Colorful Dots,4,0,0,4
114840,18in Smiley Get Well Balloon,28,0,0,28
114841,17in Get Well Soon Smileys,16,0,0,16
114860,18in Birthday Bright Balloon,24,0,0,24
114862,18in Monkey Around Birthday,13,0,0,13
114867,18in Its A Boy Bears & Bunnies,1,0,0,1
114869,17in I'm So Sorry Balloon,2,0,0,2
115556,18in BABY BALLOONS,10,0,0,10
117400,17in Birthday Petals Clear,19,0,0,19
117407,17in HBD Glitter Font Balloon,27,0,0,27
117408,17in Happy Birthday Tropical,41,4,0,37
117416,17in HBD Glitter Dots Balloon,7,3,0,4
117800,17in Happy 18th Birthday,37,0,0,37
117801,17in Happy 21st Birthday,26,1,0,25
117802,17in Happy 30th Birthday,18,0,0,18
117803,17in Happy 40th Birthday,42,1,0,41
117804,17in Happy 50th Birthday,60,1,0,59
117805,17in Happy 60th Birthday,31,1,0,30
117806,17in Happy 70th Birthday,25,0,0,25
117807,17in Get Well Soon Boy,20,0,0,20
117808,17in Get Well Soon Girl,17,0,0,17
117809,17in Happy Birthday Blue,12,0,0,12
117810,17in Happy Birthday Girl,22,1,0,21
12-100,Floral Order Pad 100 Sheets,317,0,0,317
120231,Staple Box 5000 PCS,41,0,0,41
120234,Full Strip Stapler 24/6 26/6,43,0,0,43
120235WH,White Chalkboard Pen Pack of 2,33,0,0,33
120238,Floral Foam Knife 38cm Yellow,1,0,0,1
121209BK,Flower Stand Eco 4-Tier Black,2,0,0,2
12133SI,48 Pins Diamante Teardrop 12mm,23,0,0,23
124005,9in Balloon It's Your Day!,165,0,0,165
124012,9in A Baby Boy Balloon,223,0,0,223
124013,9in A Baby Girl Balloon,145,0,0,145
124017,9in Emoticon Wink & Tongue,114,0,0,114
124018,9in Emoticon Heart Shape Eyes,196,0,0,196
124019,9in Emoticon Tears of Joy,116,0,0,116
124020,9in Emoticon Blushing Cheeks,173,0,0,173
124021,9in Emoticon Sunglasses,141,0,0,141
124022,9in Emoticon Grin Balloon,118,0,0,118
124027,9in Emoticon Blowing Kiss Face,212,0,0,212
124031,9in Hang in There Monkey,128,0,0,128
124038,9in Beachball Balloon,109,0,0,109
124040,9in It's a Boy Dots Balloon,292,0,0,292
124042,9in It's a Girl Dots Balloon,183,0,0,183
124043,9in ILY Butterflies Balloon,99,0,0,99
124045,9in Grad Rainbow Stripes,146,0,0,146
124051,9in HMD Flamingo Balloon,"2,820",0,0,"2,820"
124054,9in CTI SMILEY FACE BALLOON,"2,862",0,0,"2,862"
124055,9in Pastel Blue Smiley Balloon,6,0,0,6
124058,9in Bounce Back Soon Sports,132,0,0,132
124063,9in GWS Chrysanthemum Balloon,355,0,0,355
124073,9in Brewster Get Well Balloon,164,3,0,161
124082,9in It's A Girl Baby Icons,648,0,0,648
124084,9in Soccer Ball Balloon,128,0,0,128
124089,9in Its Your Day Primary,98,0,0,98
124100,9in Happy Birthday Rose Gold,588,6,0,582
124101,9in Congratulations 3-D Stars,327,0,0,327
124108,9in Happy Birthday Gifts,239,0,0,239
124109,9in Happy Birthday Outer Space,230,0,0,230
124132,You're How Old Balloons,34,0,0,34
124133,HBD Party Elephant Balloon,147,0,0,147
124137,HBD Sparkling Candles Balloon,286,1,0,285
124161,9in Happy Easter 3 bunnies,100,0,0,100
124162,9in Get Well Bandaids Balloon,223,0,0,223
124177,9in HMD Butterflies & Stripes,207,0,0,207
124185,9in Happy Birthday Treat,"1,545",1,0,"1,544"
124186,9in Festive Birthday Blue,187,0,0,187
124196,9in BIRTHDAY HEARTS & SWIRLS,353,0,0,353
124198,9in Birthday Wish Emoticons,34,0,0,34
124199,9in Happy Bday Bunch Balloons,6,1,0,5
124211,9in BIG BIRTHDAY BALLOONS,284,0,0,284
124276,9in Birthday Black Balloon,233,0,0,233
124286,9in WELCOME HOME BALLOON,217,0,0,217
124289,9in IT'S A GIRL MOON & STARS,508,0,0,508
124290,9in IT'S A BOY MOON & STARS,288,0,0,288
124343,9in GET WELL SOON SMILEY,423,0,0,423
124344V,9in Smiling Santa Self Inflate,56,0,0,56
124366,9in Colorful Streamers Bday,508,0,0,508
124371,9in Grad Confetti Triangle,200,0,0,200
124380V,9in Get Well Colourful Bandaid,87,0,0,87
