
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Inventory [Summary]
29/04/2020,Page 1
2:08:24 pm
Item No.,Item Name,On Hand,Committed,On Order,Available

01009PC,Tray Willow Square 40x40x15.5c,0,0,0,0
01293PC.NAT,Tray Willow Rnd PC 30Dx9cmH Na,0,0,0,0
1001-20A,Aspac Ideal Foam 20 Block Box,24,1,0,23
1002A,Aspac Ideal Foam Box 60,162,1,0,161
1002ST35,Floral Foam Bricks Strass IDEA,0,0,0,0
1002ST60,Floral Foam Bricks Strass IDEA,0,0,0,0
10073RE,Wooden Tray Rect  W/ Hamper Re,0,0,0,0
1038BLK,River Pebbles Black 10kg,0,0,0,0
105M,Staples for HD10D 5mm 5000,2,0,0,2
11001,Glass Flower Test Tube Pack 5,0,0,0,0
11022WH,Beads/ Garland Hanging White,0,0,0,0
11025GO,Bead/Garland Roll - Gold,0,0,0,0
110302BW,Wedding Flower Girl    BASKETS,0,0,0,0
11046CL,Pearl & Ribbon Clear,4,0,0,4
11046GO,Pearl & Ribbon Gold,0,0,0,0
11046WH,Pearl & Ribbon White,0,0,0,0
11047CL,Pearl & Deco Ribbon w/Star Cle,0,0,0,0
11047SI,Pearl & Deco Ribbon Stars 3m,0,0,0,0
114000,18in Thinking Of You Sun Stars,10,0,0,10
114001,18in Feel Better Soon Kitty,0,0,0,0
114005,17in Balloon It's Your Day!,12,0,0,12
114009,18in Best Wishes Balloon,4,0,0,4
114027,17in Happy Retirement Balloons,27,0,0,27
114034,18in GWS Dot & Stripes Balloon,11,0,0,11
114054,18in SMILEY FACE Balloon,45,0,0,45
114057,17in I Love You to the Moon,0,0,0,0
114060,17in Festive Congrats,0,0,0,0
114063,18in Get Well Chrysanthemums,17,0,0,17
114068,17in Angels Watching You,0,0,0,0
114073,18in Brewster Get Well Balloon,12,0,0,12
114074,17in It's A Boy Baby Icons,12,0,0,12
114082,17in It's A Girl Baby Icons,23,6,0,17
114092,17in Party Time Balloon,26,0,0,26
114100,17in Happy Birthday Rose Gold,33,0,0,33
114107,17in Little Birthday Monsters,7,0,0,7
114120,18in Welcome Repeat Balloon,21,0,0,21
114130,17in Neon Yellow Smiley,0,0,0,0
114131,17in Birthday Animal Print,14,0,0,14
114132,17in You're How Old Balloons,0,0,0,0
114134,17in Happy Birthday Dots,31,0,0,31
114136,17in Grad Rainbow Stripes,3,0,0,3
114157,17in Happy Birthday Cupcake,22,0,0,22
114162,17in Get Well Bandaids Balloon,7,0,0,7
114186,17in Festive Birthday Blue,31,0,0,31
114187,17in Festive Over the Hill,3,0,0,3
114196,18in BIRTHDAY HEARTS & SWIRLS,0,0,0,0
114208,18in Congrats Big Balloons,0,0,0,0
114211,18in BIG BIRTHDAY BALLOONS,30,0,0,30
114271,17in Thinking of You Bouquet,5,0,0,5
114275,17in Birthday Rainbow Balloon,5,0,0,5
114286,18in Welcome Home Balloon,15,0,0,15
114287,17in Baby Shower Moon & Stars,24,0,0,24
114327,17in Heart Eyes Balloon,55,0,0,55
114328,17in Happy Mothers Day Pretty,0,0,0,0
114329,17in Best Mum Ever Party,50,0,0,50
114341,17in Happy Birthday Smiley,26,0,0,26
114361,17in Big Fish Birthday Balloon,5,0,0,5
114363,18in PASTEL 1ST BIRTHDAY,2,0,0,2
114365,18in BIRTHDAY PUPPY BALLOON,0,0,0,0
114378,17in HMD Fun Flowers Balloon,0,0,0,0
114379,17in Feel Better Sun,0,0,0,0
114381,17in Cheetah Princess Crown,0,0,0,0
114419,18in Get Well Daisies Balloon,0,0,0,0
114455,17in Get Well Bear w/ Balloons,0,0,0,0
114491,17in Happy Birthday Star Burst,15,0,0,15
114497,17in Birthday Princess Pink,9,0,0,9
114499,17in Congratulations Star,12,0,0,12
114500,18in Just Because Balloon,0,0,0,0
114502,17in Baby Girl Bottles Balloon,18,0,0,18
114503,17in Baby Boy Bottles Balloon,17,0,0,17
114508,17in Bee Better Soon Balloon,19,0,0,19
114511,18in Get Well Butterfly & Bug,20,0,0,20
114542,18in HAPPY BIRTHDAY GLITTERS,1,0,0,1
114543,18in Congrats Stars Balloon,13,0,0,13
114544,18in GET WELL COLORFUL BURST,29,0,0,29
