
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2020 through March 2020
21/03/2020	Page 1
7:05:24 am
Item No.	Item Name	April	May	June	July	August	September	October	November	December	January	February	March	Total

1001-20A	Aspac Ideal Foam 20 Block Box	8	7	17	10	6	3	8	7	8	10	8	9	101
1002A	Aspac Ideal Foam Box 60	34	62	12	47	40	37	50	52	31	58	33	39	495
1038BLK	River Pebbles Black 10kg	0	0	0	1	0	1	0	0	0	0	0	0	2
105M	Staples for HD10D 5mm 5000	3	2	0	0	0	4	2	1	1	2	1	0	16
11001	Glass Flower Test Tube Pack 5	2	5	0	0	0	0	0	0	0	0	0	0	7
11046CL	Pearl & Ribbon Clear	0	0	0	0	1	0	0	0	0	0	0	0	1
114000	18in Thinking Of You Sun Stars	7	1	0	0	8	0	-2	1	4	2	2	0	23
114001	18in Feel Better Soon Kitty	5	4	0	0	2	1	1	3	0	2	0	0	18
114005	17in Balloon It's Your Day!	0	1	1	6	3	-3	0	0	1	0	0	0	9
114009	18in Best Wishes Balloon	1	2	1	0	0	1	0	1	0	0	5	0	11
114027	17in Happy Retirement Balloons	2	7	7	7	1	2	1	3	0	0	3	3	36
114034	18in GWS Dot & Stripes Balloon	2	3	5	0	8	1	2	2	0	9	6	4	42
114054	18in SMILEY FACE Balloon	19	27	39	10	26	14	3	45	0	13	19	11	226
114057	17in I Love You to the Moon	1	0	0	0	0	0	0	0	0	0	0	0	1
114063	18in Get Well Chrysanthemums	4	1	3	1	1	3	1	1	3	0	0	0	18
114073	18in Brewster Get Well Balloon	5	1	4	0	3	5	0	3	2	3	5	0	31
114074	17in It's A Boy Baby Icons	3	1	2	2	9	6	-3	6	3	2	1	4	36
114082	17in It's A Girl Baby Icons	5	2	4	1	4	3	0	7	1	0	0	6	33
114092	17in Party Time Balloon	0	0	0	0	3	0	0	1	2	0	0	0	6
114100	17in Happy Birthday Rose Gold	23	11	15	4	0	9	6	0	0	16	11	10	105
114107	17in Little Birthday Monsters	2	2	4	2	2	2	0	11	0	0	3	0	28
114120	18in Welcome Repeat Balloon	3	3	0	0	2	3	0	2	1	3	1	2	20
114130	17in Neon Yellow Smiley	0	0	1	0	0	0	0	0	0	0	0	0	1
