
TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item Spreadsheet]

April 2019 through March 2020
17/04/2020,Page 1
10:37:51 am
Item No.,Item Name,April,May,June,July,August,September,October,November,December,January,February,March,Total

01009PC,Tray Willow Square 40x40x15.5c,0,0,0,0,0,0,0,0,0,0,0,0,0
01293PC.NAT,Tray Willow Rnd PC 30Dx9cmH Na,0,0,0,0,0,0,0,0,0,0,0,0,0
1001-20A,Aspac Ideal Foam 20 Block Box,8,7,17,10,6,3,8,7,8,10,8,10,102
1002A,Aspac Ideal Foam Box 60,34,62,12,47,40,37,50,52,31,58,33,41,497
1002ST35,Floral Foam Bricks Strass IDEA,0,0,0,0,0,0,0,0,0,0,0,0,0
1002ST60,Floral Foam Bricks Strass IDEA,0,0,0,0,0,0,0,0,0,0,0,0,0
10073RE,Wooden Tray Rect  W/ Hamper Re,0,0,0,0,0,0,0,0,0,0,0,0,0
1038BLK,River Pebbles Black 10kg,0,0,0,1,0,1,0,0,0,0,0,0,2
105M,Staples for HD10D 5mm 5000,3,2,0,0,0,4,2,1,1,2,1,0,16
11001,Glass Flower Test Tube Pack 5,2,5,0,0,0,0,0,0,0,0,0,0,7
11022WH,Beads/ Garland Hanging White,0,0,0,0,0,0,0,0,0,0,0,0,0
11025GO,Bead/Garland Roll - Gold,0,0,0,0,0,0,0,0,0,0,0,0,0
110302BW,Wedding Flower Girl    BASKETS,0,0,0,0,0,0,0,0,0,0,0,0,0
11046CL,Pearl & Ribbon Clear,0,0,0,0,1,0,0,0,0,0,0,0,1
11046GO,Pearl & Ribbon Gold,0,0,0,0,0,0,0,0,0,0,0,0,0
11046WH,Pearl & Ribbon White,0,0,0,0,0,0,0,0,0,0,0,0,0
11047CL,Pearl & Deco Ribbon w/Star Cle,0,0,0,0,0,0,0,0,0,0,0,0,0
11047SI,Pearl & Deco Ribbon Stars 3m,0,0,0,0,0,0,0,0,0,0,0,0,0
114000,18in Thinking Of You Sun Stars,7,1,0,0,8,0,-2,1,4,2,2,0,23
114001,18in Feel Better Soon Kitty,5,4,0,0,2,1,1,3,0,2,0,0,18
114005,17in Balloon It's Your Day!,0,1,1,6,3,-3,0,0,1,0,0,0,9
114009,18in Best Wishes Balloon,1,2,1,0,0,1,0,1,0,0,5,0,11
114027,17in Happy Retirement Balloons,2,7,7,7,1,2,1,3,0,0,3,3,36
114034,18in GWS Dot & Stripes Balloon,2,3,5,0,8,1,2,2,0,9,6,4,42
