TEDDYTIME
PO Box 96231
BALMORAL 1342

Analyse Sales [Item]

March 2020
6/04/2020,Page 1
10:00:24 am
Item No.,Units Sold

1001-20A,100
1002A,410
114027,300
114034,40
114054,11
114074,4
114082,6
114100,10
114120,2
114131,3
114186,4
114208,1
114275,4
114286,10
114287,4
114327,1
114341,8
114491,3
114542,10
114545,4
114547,2
114571,4
114572,4
114594,1
114601,19
114604,1
114605,5
114606,2
114607,1
114608,9
114610,1
114840,1
114866,1
114869,1
115556,3
117400,8
117407,15
117408,11
117416,10
117800,7
117801,17
117802,11
117803,11
117804,16
117805,10
117806,6
117809,3
117810,2
12-100,44
124005,1
124012,11
124013,6
124017,12
124018,4
124019,6
124020,44
124021,7
124022,3
124027,20
124031,11
124038,1
124040,72
124042,88
124043,1
124045,21
124051,9
124054,568
124055,6
124058,2
124063,45
124073,13
124082,14
124084,7
124089,6
124100,64
124101,26
124108,16
124109,15
124132,2
124133,6
124137,18
124162,4
124177,3
124185,49
124186,34
124196,30
124198,20
124199,27
124211,30
124276,24
124286,16
124289,6
124290,7
124343,31
124366,415
124491,14
124497,9
124499,36
124502,15
124503,28
124504,530
124505,527
124506,8
124542V,1
124543,58
124544,24
124547,32
124557,6
124563,1
124608,18
124610,539
124667,60
124719,22
124861,617
124862,13
125032,16
125556,25
125557,3
126489.48,26
126489.93,18
126496,1
12914SI,1
13020.69,1
13025CL,6
13029CL,1
13060CL,4
131138GR,1
131139WH,3
131149CL,2
131152CL,31
1312049CL,20
1312059CL,20
1312081CL,6
1312086CL,27
1312088CL,9
1312088SGR,6
1312089CL,7
1312091CL,3
1312098CL,2
1312122CL,3
1312123CL,2
1312124CL,4
1312126PK,8
1312132CL,48
136017CL,6
144001,5
144002,9
144003,5
144004,7
144005,2
144054,12
144162,22
144289,28
144290,25
144366,5
144608,8
144610,19
144861,7
144862,1
149355BLU,25
149355CH,22
149355COOL,4
149355DP,12
149355FO,5
149355PST,27
149355RTP,20
149355WARM,2
14935MCR,162
14935SAU,72
14935SBB,25
14935SBK,110
14935SBP,63
14935SBU,25
14935SCB,26
14935SCH,36
14935SGO,25
14935SHG,22
14935SHP,108
14935SLA,39
14935SLG,139
14935SMO,37
14935SOR,120
14935SRE,40
14935SVI,35
14935SWH,389
14935SYE,106
14937MCR,106
14937SBP,27
14937SBU,19
14937SGO,25
14937SHP,15
14937SLG,25
14937SSI,25
14937SVI,25
14937SWH,422
14937SYE,5
1493L103SWH,15
14965SRE,30
14987BK,60
14987LA,5
14987LG,15
14987MO,5
14987NA,15
14987RE,5
14987WH,120
14987YE,25
14988BRT,9
14988PSL,4
1506003WH,1
1506004WH,2
151004GO,1
151004RGO,2
201603,2
201605,15
201610,1
20201WH,15
20202WH,36
20205BK,2
20205WH,1
20209MO,5
20209WH,10
20210BK,19
20210MO,1
20210WH,4
20219BK,2
20221BK,10
20221RE,1
20221WH,64
20228WH,16
20308MO,9
20326WH,9
20329WH,3
2080600,4
2080601,5
2080620,1
2080622,1
20DOLLARSOFF,-1
21001100CR,1
21032NA,2
21033NA,4
21036NA,5
21038NA,4
21051BLK,2
211025IV,1
211514L,1
211525BK,2
211525WH,3
2118434WH,1
2118436WH,3
212525WH,1
2137012,1
213702,9
213825BK,2
213825IV,3
214010,1
214072,5
214329,9
214476,3
214531,4
214552,3
214587,9
215025WH,2
217425LI,2
217425VI,3
218125BK,9
218125WH,11
218238BK,1
218238RE,1
218238WH,1
219238BB,1
219238BK,19
219238BP,2
219238LI,2
219238RE,1
2199944CR,1
2199944LA,2
2199944LAPI,2
2199944MI,4
221000,1
223001,769
224001,5
224003,13
224006,9
224007,1
224015,13
224022,3
224028,9
224029,3
224036,28
224041,8
224071,1
224075,13
224077,3
224078,73
224146,18
224176,9
224233,11
224236,23
224304,37
224327,76
224389,3
224396,1
224564,1
2305RBK,4
2305RWH,7
2308.002,6
2310.901,4
2310.902,6
2331BK,13
2331BK.WH,8
240013KR,10
240043BLK,10
240043HP,30
240043VI,19
2400460BK,2
240047BK,24
240048BB,2
240048BP,2
240048LA,2
240068HP,20
240073WH,10
240075KRWH,10
240077DP,10
240077FB,11
240090PK,22
241003WH,18
243001,12
244020,5
244023,3
244041,3
244154,3
244174,6
244304,2
244327,21
244561,1
2601001NA,3
270301BK,4
270301GO,1
2708160WH,1
3031.06-09,18
306232,72
310110GR,1
31318MO,10
31325BP,8
31325GO,10
31325HP,2
31325LI,7
31325VI,17
31325YE,5
31371,38
314400,5
314401,6
314402,3
314403,3
314404,3
314405,6
314406,3
314407,2
314408,2
314409,2
317001,1
317004,7
317005,4
317012,4
317347,1
317671,6
317703,1
318099,5
318106,1
318107,2
318108,6
318136,9
32004NA,5
32004WH,1
3207.24.09,87
